ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
171346,Cable de Carga USB-C P/O,1,46900,04/04/19 19:25,"631 calle Boyacá, Armenia, QU"
171347,Parlante Google HomeMini,1,159900,04/19/19 07:19,"546 calle 5ta, Medellin, AN"
171348,AAA Batteries (4-pack),1,12990,04/22/19 22:41,"593 calle 8va, Manizalez, CA"
171349,Cable de Carga USB-C P/O,1,46900,04/09/19 04:59,"571 calle 4ta, Medellin, AN"
171350,Cable de Carga USB-C P/O,1,46900,04/18/19 09:36,"883 calle Madison, Neiva, HU"
171351,Cable de Carga Lightning,1,64900,04/21/19 16:44,"988 calle Avenida, Armenia, QU"
171352,Cable de Carga Lightning,1,64900,04/23/19 09:20,"568 calle Rivera, Ibagué, TO"
171353,Asus VivoBook X420FA-BV Laptop,1,1950900,04/20/19 13:18,"773 calle Carrera, Medellin, AN"
171354,Cable de Carga USB-C P/O,1,46900,04/17/19 17:52,"857 calle Pinar, Bogotá, CU"
171355,Cable de Carga USB-C P/O,1,46900,04/20/19 10:42,"132 calle Pinar, Armenia, QU"
171356,Audifonos Apple Airpods,1,499900,04/12/19 22:51,"58 calle Transversal, Cali, VC"
171357,Cable de Carga Lightning,1,64900,04/08/19 22:21,"344 calle Cherry, Medellin, AN"
171358,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,04/02/19 21:00,"683 calle Madison, Medellin, AN"
171359,Parlante Google HomeMini,1,159900,04/11/19 01:19,"478 calle Americas, Cali, VC"
171360,AAA Batteries (4-pack),1,12990,04/09/19 13:33,"855 calle 5ta, Cali, VC"
171361,Horno Microondas 0.8P Samsung AGE,1,309900,04/02/19 10:51,"602 calle Diagonal, Cúcuta, NS"
171362,Samsung Galaxy A302,1,649900,04/17/19 00:51,"345 calle 14va, Cali, VC"
171363,AAA Batteries (4-pack),1,12990,04/10/19 13:35,"678 calle Kennedy, Cúcuta, NS"
171364,Cable de Carga USB-C P/O,1,46900,04/20/19 14:54,"721 calle 4ta, Bogotá, CU"
171365,Motorola G8 Plus Red,1,729900,04/18/19 16:06,"134 calle Cherry, Ibagué, TO"
171365,Cable de Carga Lightning,1,64900,04/18/19 16:06,"134 calle Cherry, Ibagué, TO"
171366,AAA Batteries (4-pack),2,12990,04/27/19 09:12,"730 calle Sur, Manizalez, CA"
171367,AA Batteries (4-pack),1,13800,04/11/19 13:35,"200 calle Transversal, Armenia, QU"
171368,Cable de Carga Lightning,1,64900,04/25/19 10:14,"796 calle Sunset, Armenia, QU"
171369,AAA Batteries (4-pack),1,12990,04/17/19 21:47,"409 calle 4ta, Medellin, AN"
171370,Cable de Carga Lightning,1,64900,04/08/19 12:14,"775 calle Sur, Medellin, AN"
171371,Parlante Google HomeMini,1,159900,04/26/19 05:54,"770 calle Atalaya, Armenia, QU"
171372,Audifonos Bose SoundSport,1,399900,04/05/19 00:23,"694 calle Santa, Bogotá, CU"
171373,AA Batteries (4-pack),1,13800,04/25/19 23:50,"382 calle Pinar, Ibagué, TO"
171374,Freidora Air Fryer Kalley K-MAF25,1,198849,04/17/19 08:56,"610 calle Salitre, Cali, VC"
171375,AA Batteries (4-pack),1,13800,04/27/19 14:43,"500 calle Portal Sur, Bucaramanga, SA"
171376,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,04/06/19 14:33,"259 calle 10ma, Armenia, QU"
171376,Cable de Carga Lightning,1,64900,04/06/19 14:33,"259 calle 10ma, Armenia, QU"
171377,Xiaomi REDMI Note 8,1,719000,04/19/19 18:04,"452 calle Atalaya, Medellin, AN"
171378,Samsung Galaxy A302,1,649900,04/07/19 19:53,"166 calle 7ma, Cali, VC"
171379,Motorola G8 Plus Red,1,729900,04/22/19 11:20,"734 calle Willow, Neiva, HU"
171380,AAA Batteries (4-pack),1,12990,04/05/19 12:22,"841 calle Atalaya, Armenia, QU"
171381,Cable de Carga Lightning,2,64900,04/19/19 15:17,"439 calle Madison, Manizalez, CA"
171382,AA Batteries (4-pack),2,13800,04/04/19 00:36,"436 calle 12ma, Bogotá, CU"
171383,AA Batteries (4-pack),2,13800,04/11/19 09:36,"962 calle Autopista Norte, Cali, VC"
171384,AA Batteries (4-pack),1,13800,04/26/19 15:08,"132 calle 2da, Medellin, AN"
171385,Cable de Carga Lightning,1,64900,04/11/19 15:34,"231 calle Atalaya, Cúcuta, NS"
171386,Asus VivoBook X420FA-BV Laptop,1,1950900,04/01/19 12:50,"191 calle 10ma, Ibagué, TO"
171387,AA Batteries (4-pack),1,13800,04/18/19 15:23,"315 calle Sunset, Medellin, AN"
171388,Samsung Galaxy A302,1,649900,04/27/19 16:53,"529 calle Americas, Cali, VC"
171389,AA Batteries (4-pack),1,13800,04/14/19 10:09,"551 calle Kennedy, Barranquilla, AT"
171390,LG Lavadora 19Kg Inv WT19,1,1646900,04/13/19 17:46,"627 calle Centro, Bogotá, CU"
171391,AAA Batteries (4-pack),1,12990,04/09/19 14:03,"69 calle Norte, Manizalez, CA"
171392,Horno Microondas 0.8P Samsung AGE,1,309900,04/06/19 08:19,"640 calle Pte Aranda, Manizalez, CA"
171393,Cable de Carga Lightning,1,64900,04/05/19 18:56,"9 calle 4ta, Barranquilla, AT"
171394,Freidora Air Fryer Kalley K-MAF25,1,198849,04/04/19 04:04,"151 calle Sucre, Manizalez, CA"
171395,Cable de Carga USB-C P/O,1,46900,04/01/19 13:30,"553 calle Salitre, Bogotá, CU"
171396,AAA Batteries (4-pack),1,12990,04/15/19 09:32,"616 calle 10ma, Armenia, QU"
171397,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,04/01/19 12:08,"978 calle Willow, Cali, VC"
171397,Cable de Carga Lightning,1,64900,04/01/19 12:08,"978 calle Willow, Cali, VC"
171398,Multiolla Oster 0150 Negra PE,1,299900,04/05/19 09:34,"642 calle 12ma, Armenia, QU"
171399,Cable de Carga USB-C P/O,1,46900,04/06/19 20:15,"515 calle Centro, Barranquilla, AT"
171400,Audifonos Apple Airpods,1,499900,04/21/19 17:51,"991 calle Rio, Medellin, AN"
171401,Cable de Carga USB-C P/O,1,46900,04/30/19 21:40,"100 calle Portal Sur, Cali, VC"
171402,Cable de Carga USB-C P/O,1,46900,04/03/19 10:55,"926 calle Jimenez, Cali, VC"
171403,AAA Batteries (4-pack),1,12990,04/27/19 08:33,"459 calle Santa, Cúcuta, NS"
171404,Horno Microondas 0.8P Samsung AGE,1,309900,04/26/19 02:11,"115 calle Adams, Barranquilla, AT"
171404,Cable de Carga Lightning,1,64900,04/26/19 02:11,"115 calle Adams, Barranquilla, AT"
171405,Audifonos Apple Airpods,1,499900,04/20/19 12:01,"138 calle 6ta, Cali, VC"
171406,Horno Microondas 0.8P Samsung AGE,1,309900,04/30/19 16:11,"91 calle Rivera, Medellin, AN"
171407,Samsung Galaxy A302,1,649900,04/17/19 11:34,"908 calle Jefferson, Bucaramanga, SA"
171407,Cable de Carga USB-C P/O,1,46900,04/17/19 11:34,"908 calle Jefferson, Bucaramanga, SA"
171408,AAA Batteries (4-pack),1,12990,04/21/19 18:25,"130 calle Pte Aranda, Bogotá, CU"
171409,AAA Batteries (4-pack),1,12990,04/17/19 08:58,"948 calle Cedar, Ibagué, TO"
171410,Motorola G8 Plus Red,1,729900,04/07/19 08:46,"561 calle 2da, Medellin, AN"
171411,Audifonos Apple Airpods,1,499900,04/06/19 16:36,"228 calle 14va, Cúcuta, NS"
171412,Audifonos Bose SoundSport,1,399900,04/07/19 23:19,"681 calle Willow, Cúcuta, NS"
171413,Xiaomi REDMI Note 8,1,719000,04/02/19 20:56,"710 calle Transversal, Bogotá, CU"
171414,Parlante Google HomeMini,1,159900,04/16/19 16:57,"512 calle 11ra, Armenia, QU"
171415,Multiolla Oster 0150 Negra PE,1,299900,04/04/19 17:26,"829 calle Lincoln, Cúcuta, NS"
171416,Cable de Carga USB-C P/O,1,46900,04/24/19 15:28,"321 calle Centro, Medellin, AN"
171417,Parlante Google HomeMini,1,159900,04/14/19 17:46,"287 calle Adams, Barranquilla, AT"
171418,AA Batteries (4-pack),1,13800,04/30/19 10:01,"621 calle 10ma, Cúcuta, NS"
171419,AA Batteries (4-pack),2,13800,04/24/19 17:56,"131 calle Sunset, Armenia, QU"
171420,AA Batteries (4-pack),1,13800,04/15/19 14:20,"609 calle Santa, Cúcuta, NS"
171421,Freidora Air Fryer Kalley K-MAF25,1,198849,04/02/19 21:34,"488 calle Transversal, Medellin, AN"
