ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
224782,AAA Batteries (4-pack),2,12990,08/04/19 08:24,"91 calle Boyacá, Armenia, QU"
224783,AAA Batteries (4-pack),1,12990,08/31/19 07:55,"157 calle Willow, Medellin, AN"
224784,AA Batteries (4-pack),1,13800,08/30/19 18:25,"317 calle Santa, Medellin, AN"
224785,Cable de Carga Lightning,1,64900,08/13/19 13:48,"744 calle Centro, Cali, VC"
224786,AAA Batteries (4-pack),1,12990,08/08/19 10:52,"486 calle Cherry, Armenia, QU"
224787,AA Batteries (4-pack),1,13800,08/30/19 12:27,"952 calle Lincoln, Medellin, AN"
224788,Cable de Carga USB-C P/O,1,46900,08/25/19 12:05,"176 calle Kennedy, Ibagué, TO"
224789,Motorola G8 Plus Red,1,729900,08/22/19 16:27,"600 calle 5ta, Medellin, AN"
224790,AA Batteries (4-pack),1,13800,08/19/19 15:19,"206 calle Madison, Cúcuta, NS"
224791,Freidora Saludable B&D 3.5 Litros,1,229900,08/03/19 21:22,"861 calle Pte Aranda, Armenia, QU"
224792,Audifonos Apple Airpods,1,499900,08/17/19 16:22,"384 calle Sunset, Bogotá, CU"
224793,Freidora Saludable B&D 3.5 Litros,1,229900,08/04/19 14:22,"355 calle Sunset, Ibagué, TO"
224794,Cable de Carga Lightning,1,64900,08/28/19 21:34,"813 calle 1era, Bucaramanga, SA"
224795,Freidora Saludable B&D 3.5 Litros,1,229900,08/15/19 12:18,"91 calle Pte Aranda, Manizalez, CA"
224796,Audifonos Apple Airpods,1,499900,08/16/19 18:54,"994 calle 12ma, Bogotá, CU"
224797,AA Batteries (4-pack),2,13800,08/28/19 09:03,"39 calle Boyacá, Armenia, QU"
224798,Xiaomi REDMI Note 8,1,719000,08/02/19 10:39,"403 calle Pte Aranda, Medellin, AN"
224799,Parlante Google HomeMini,1,159900,08/02/19 22:26,"603 calle 13ra, Medellin, AN"
224800,Freidora Saludable B&D 3.5 Litros,1,229900,08/29/19 09:41,"666 calle Jimenez, Ibagué, TO"
224801,Parlante Google HomeMini,1,159900,08/17/19 20:33,"533 calle 4ta, Ibagué, TO"
224802,Audifonos Bose SoundSport,1,399900,08/14/19 23:19,"333 calle 1era, Barranquilla, AT"
224803,Cable de Carga Lightning,1,64900,08/04/19 16:55,"682 calle Portal Sur, Ibagué, TO"
224804,Audifonos Bose SoundSport,1,399900,08/19/19 15:13,"656 calle Atalaya, Cúcuta, NS"
224805,Cable de Carga USB-C P/O,1,46900,08/16/19 20:55,"791 calle Pinar, Ibagué, TO"
224805,Cable de Carga USB-C P/O,1,46900,08/16/19 20:55,"791 calle Pinar, Ibagué, TO"
224806,Freidora Saludable B&D 3.5 Litros,1,229900,08/09/19 14:30,"32 calle Portal Sur, Cúcuta, NS"
224807,AA Batteries (4-pack),3,13800,08/12/19 16:12,"578 calle Carrera, Ibagué, TO"
224808,Audifonos Apple Airpods,1,499900,08/21/19 22:44,"107 calle Museo, Medellin, AN"
224809,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,08/20/19 15:33,"316 calle 14va, Manizalez, CA"
224810,AA Batteries (4-pack),1,13800,08/17/19 07:54,"262 calle Jefferson, Bucaramanga, SA"
224811,Cable de Carga USB-C P/O,2,46900,08/13/19 22:59,"384 calle 4ta, Armenia, QU"
224812,Audifonos Bose SoundSport,1,399900,08/07/19 20:57,"365 calle Museo, Armenia, QU"
224813,Audifonos Bose SoundSport,1,399900,08/03/19 15:32,"363 calle Jimenez, Armenia, QU"
224814,Motorola G8 Plus Red,1,729900,08/09/19 19:29,"566 calle Portal Sur, Medellin, AN"
224814,Audifonos Apple Airpods,1,499900,08/09/19 19:29,"566 calle Portal Sur, Medellin, AN"
224815,Cable de Carga Lightning,1,64900,08/07/19 14:12,"499 calle 13ra, Bogotá, CU"
224816,Cable de Carga Lightning,1,64900,08/07/19 09:57,"648 calle Autopista Norte, Medellin, AN"
224817,Cable de Carga Lightning,1,64900,08/13/19 20:42,"392 calle Transversal, Manizalez, CA"
224818,Cable de Carga USB-C P/O,1,46900,08/31/19 16:50,"513 calle Sur, Ibagué, TO"
224819,AA Batteries (4-pack),2,13800,08/07/19 10:37,"321 calle Bolivar, Medellin, AN"
224820,Cable de Carga USB-C P/O,1,46900,08/23/19 21:50,"578 calle Kennedy, Cúcuta, NS"
224821,Audifonos Apple Airpods,1,499900,08/11/19 18:05,"708 calle 8va, Armenia, QU"
224822,AA Batteries (4-pack),1,13800,08/10/19 00:56,"968 calle Santa, Cúcuta, NS"
224823,AAA Batteries (4-pack),1,12990,08/19/19 20:20,"784 calle Pinar, Medellin, AN"
224824,Freidora Saludable B&D 3.5 Litros,1,229900,08/28/19 13:07,"949 calle Atalaya, Cúcuta, NS"
224825,AAA Batteries (4-pack),1,12990,08/29/19 13:53,"758 calle Jimenez, Armenia, QU"
224826,AAA Batteries (4-pack),2,12990,08/17/19 22:14,"559 calle Johnson, Medellin, AN"
224827,Freidora Saludable B&D 3.5 Litros,1,229900,08/25/19 12:45,"468 calle Elm, Manizalez, CA"
224828,Cable de Carga Lightning,1,64900,08/28/19 12:17,"987 calle 6ta, Bucaramanga, SA"
224829,Audifonos Apple Airpods,1,499900,08/02/19 15:51,"194 calle Avenida, Ibagué, TO"
224830,Audifonos Apple Airpods,1,499900,08/07/19 08:43,"421 calle Sucre, Cúcuta, NS"
224831,Parlante Google HomeMini,1,159900,08/21/19 19:33,"938 calle Chapinero, Medellin, AN"
224832,LG Lavadora 19Kg Inv WT19,1,1646900,08/08/19 19:03,"392 calle 13ra, Medellin, AN"
224833,Audifonos Apple Airpods,1,499900,08/31/19 16:11,"868 calle 13ra, Medellin, AN"
224834,AA Batteries (4-pack),1,13800,08/28/19 16:22,"99 calle Bolivar, Medellin, AN"
224835,Multiolla Oster 0150 Negra PE,1,299900,08/03/19 17:14,"748 calle 12ma, Ibagué, TO"
224836,Samsung Galaxy A20S,1,489900,08/06/19 19:04,"608 calle Cedar, Armenia, QU"
224837,Horno Microondas 0.8P Samsung AGE,1,309900,08/28/19 14:00,"707 calle 6ta, Medellin, AN"
224838,AA Batteries (4-pack),1,13800,08/30/19 20:53,"826 calle Cherry, Manizalez, CA"
224839,Cable de Carga Lightning,1,64900,08/01/19 16:46,"470 calle Adams, Cali, VC"
224840,AA Batteries (4-pack),1,13800,08/08/19 09:17,"502 calle 5ta, Ibagué, TO"
224841,AA Batteries (4-pack),2,13800,08/31/19 16:00,"769 calle 12ma, Barranquilla, AT"
224842,Parlante Google HomeMini,1,159900,08/13/19 12:30,"36 calle Jefferson, Armenia, QU"
224843,Cable de Carga USB-C P/O,2,46900,08/10/19 13:50,"881 calle 9na, Cúcuta, NS"
224844,LG Secadora Carga Frontal,1,1646900,08/24/19 00:38,"924 calle 2da, Ibagué, TO"
224845,AAA Batteries (4-pack),2,12990,08/01/19 17:54,"689 calle Sur, Cali, VC"
224846,Cable de Carga Lightning,1,64900,08/24/19 05:20,"153 calle Elm, Cali, VC"
224847,Cable de Carga USB-C P/O,1,46900,08/10/19 10:06,"797 calle Centro, Armenia, QU"
224848,AAA Batteries (4-pack),1,12990,08/26/19 08:48,"419 calle Santa, Bucaramanga, SA"
224849,Asus VivoBook X420FA-BV Laptop,1,1950900,08/17/19 18:13,"113 calle 2da, Manizalez, CA"
224850,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,08/13/19 18:16,"235 calle Centro, Barranquilla, AT"
224851,Audifonos Bose SoundSport,1,399900,08/15/19 19:53,"78 calle Pte Aranda, Armenia, QU"
224852,Audifonos Apple Airpods,1,499900,08/19/19 19:26,"162 calle Museo, Medellin, AN"
224853,AA Batteries (4-pack),1,13800,08/04/19 02:53,"264 calle Salitre, Barranquilla, AT"
224854,AA Batteries (4-pack),2,13800,08/23/19 11:30,"201 calle Jimenez, Bucaramanga, SA"
224855,Parlante Google HomeMini,1,159900,08/11/19 15:01,"873 calle Atalaya, Armenia, QU"
224856,Audifonos Bose SoundSport,1,399900,08/28/19 10:53,"529 calle Rivera, Bucaramanga, SA"
224857,AAA Batteries (4-pack),1,12990,08/26/19 18:07,"880 calle Jimenez, Bogotá, CU"
224858,Xiaomi REDMI Note 8,1,719000,08/04/19 15:59,"185 calle Americas, Cúcuta, NS"
224859,Audifonos Bose SoundSport,1,399900,08/06/19 13:35,"766 calle Rio, Medellin, AN"
224860,Audifonos Bose SoundSport,1,399900,08/22/19 09:10,"896 calle Transversal, Bogotá, CU"
224861,Cable de Carga USB-C P/O,1,46900,08/28/19 11:35,"425 calle 14va, Manizalez, CA"
224862,Parlante Google HomeMini,1,159900,08/16/19 23:49,"821 calle 2da, Cali, VC"
224863,AA Batteries (4-pack),1,13800,08/31/19 23:52,"16 calle 11ra, Barranquilla, AT"
224864,Parlante Google HomeMini,1,159900,08/26/19 21:30,"334 calle 4ta, Bucaramanga, SA"
224865,Freidora Air Fryer Kalley K-MAF25,1,198849,08/25/19 00:16,"800 calle Carrera, Cúcuta, NS"
224866,Audifonos Apple Airpods,1,499900,08/22/19 12:58,"643 calle Jefferson, Cúcuta, NS"
224867,Audifonos Apple Airpods,1,499900,08/17/19 09:31,"116 calle Elm, Barranquilla, AT"
224868,Cable de Carga USB-C P/O,1,46900,08/28/19 09:50,"370 calle 1era, Barranquilla, AT"
224869,Freidora Saludable B&D 3.5 Litros,1,229900,08/27/19 10:04,"217 calle 5ta, Bogotá, CU"
224870,Cable de Carga Lightning,1,64900,08/22/19 10:20,"899 calle Willow, Medellin, AN"
224871,Motorola G8 Plus Red,1,729900,08/07/19 22:24,"148 calle Sucre, Manizalez, CA"
224872,AA Batteries (4-pack),1,13800,08/12/19 12:37,"661 calle Madison, Bogotá, CU"
224873,Parlante Google HomeMini,1,159900,08/24/19 23:03,"372 calle Transversal, Medellin, AN"
224874,Cable de Carga USB-C P/O,1,46900,08/15/19 14:31,"975 calle Norte, Medellin, AN"
224875,Horno Microondas 0.8P Samsung AGE,1,309900,08/05/19 13:42,"226 calle Rio, Cúcuta, NS"
224876,Audifonos Apple Airpods,1,499900,08/21/19 10:15,"891 calle 6ta, Medellin, AN"
224877,AA Batteries (4-pack),3,13800,08/10/19 16:24,"935 calle 6ta, Armenia, QU"
224878,AA Batteries (4-pack),2,13800,08/22/19 16:40,"682 calle Rio, Armenia, QU"
224879,Freidora Air Fryer Kalley K-MAF25,1,198849,08/09/19 01:55,"945 calle 4ta, Medellin, AN"
224880,Parlante Google HomeMini,1,159900,08/07/19 20:04,"828 calle Boyacá, Medellin, AN"
224881,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,08/14/19 07:27,"473 calle 4ta, Bogotá, CU"
224882,Parlante Google HomeMini,1,159900,08/15/19 14:44,"965 calle Madison, Bogotá, CU"
224883,Audifonos Bose SoundSport,1,399900,08/23/19 15:34,"439 calle Norte, Manizalez, CA"
224884,AAA Batteries (4-pack),3,12990,08/21/19 10:38,"302 calle Salitre, Medellin, AN"
224885,AAA Batteries (4-pack),1,12990,08/28/19 08:27,"807 calle 4ta, Armenia, QU"
224886,Audifonos Apple Airpods,1,499900,08/18/19 16:51,"98 calle Pte Aranda, Cúcuta, NS"
224887,Xiaomi REDMI Note 8,1,719000,08/18/19 15:44,"208 calle Sucre, Bogotá, CU"
224888,Cable de Carga USB-C P/O,1,46900,08/21/19 10:43,"35 calle 14va, Ibagué, TO"
224889,AAA Batteries (4-pack),1,12990,08/17/19 18:50,"460 calle Atalaya, Bogotá, CU"
224890,Cable de Carga Lightning,1,64900,08/09/19 23:01,"352 calle Pte Aranda, Medellin, AN"
224891,Horno Microondas 0.8P Samsung AGE,1,309900,08/18/19 12:14,"701 calle Johnson, Bogotá, CU"
224892,Cable de Carga Lightning,1,64900,08/08/19 20:52,"617 calle Atalaya, Bogotá, CU"
224893,Freidora Air Fryer Kalley K-MAF25,1,198849,08/30/19 23:36,"174 calle 14va, Medellin, AN"
224894,Parlante Google HomeMini,1,159900,08/10/19 21:55,"838 calle Diagonal, Medellin, AN"
224895,AAA Batteries (4-pack),1,12990,08/17/19 10:44,"246 calle Kennedy, Medellin, AN"
224896,Parlante Google HomeMini,1,159900,08/11/19 20:00,"821 calle Sunset, Armenia, QU"
224896,AA Batteries (4-pack),2,13800,08/11/19 20:00,"821 calle Sunset, Armenia, QU"
224897,Multiolla Oster 0150 Negra PE,1,299900,08/12/19 20:53,"126 calle Santa, Barranquilla, AT"
224898,Parlante Google HomeMini,1,159900,08/12/19 11:48,"530 calle 14va, Medellin, AN"
224899,Asus VivoBook X420FA-BV Laptop,1,1950900,08/23/19 18:49,"868 calle Portal Sur, Armenia, QU"
224900,Freidora Saludable B&D 3.5 Litros,1,229900,08/15/19 13:32,"822 calle Atalaya, Barranquilla, AT"
224901,AAA Batteries (4-pack),2,12990,08/11/19 12:04,"770 calle Pte Aranda, Bogotá, CU"
224902,Cable de Carga USB-C P/O,1,46900,08/24/19 21:46,"147 calle Diagonal, Barranquilla, AT"
224903,Cable de Carga Lightning,1,64900,08/21/19 13:53,"874 calle Centro, Medellin, AN"
224904,AAA Batteries (4-pack),1,12990,08/01/19 17:02,"505 calle Avenida, Medellin, AN"
224905,Audifonos Bose SoundSport,1,399900,08/02/19 09:28,"186 calle Centro, Ibagué, TO"
224906,Cable de Carga USB-C P/O,1,46900,08/17/19 09:18,"280 calle 8va, Cali, VC"
224907,Parlante Google HomeMini,1,159900,08/21/19 15:15,"105 calle Sur, Cúcuta, NS"
224908,AA Batteries (4-pack),1,13800,08/11/19 10:28,"945 calle Santa, Ibagué, TO"
224909,Cable de Carga Lightning,1,64900,08/31/19 10:38,"594 calle Sucre, Bucaramanga, SA"
224910,Samsung Galaxy A302,1,649900,08/12/19 22:14,"140 calle Bolivar, Bucaramanga, SA"
224911,Multiolla Oster 0150 Negra PE,1,299900,08/03/19 20:49,"845 calle 12ma, Armenia, QU"
224912,Parlante Google HomeMini,1,159900,08/17/19 18:34,"653 calle Adams, Armenia, QU"
224913,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,08/19/19 22:07,"750 calle Americas, Armenia, QU"
224914,Parlante Google HomeMini,1,159900,08/29/19 04:31,"992 calle Cedar, Cali, VC"
224915,AA Batteries (4-pack),1,13800,08/26/19 16:48,"567 calle 1era, Medellin, AN"
224916,LG Lavadora 19Kg Inv WT19,1,1646900,08/21/19 11:39,"329 calle Jefferson, Armenia, QU"
224917,Audifonos Apple Airpods,1,499900,08/15/19 13:18,"833 calle Elm, Bucaramanga, SA"
