ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
276339,Audifonos Bose SoundSport,1,399900,12/11/19 19:29,"345 calle Pte Aranda, Neiva, HU"
276340,Multiolla Oster 0150 Negra PE,1,299900,12/13/19 16:56,"924 calle Americas, Manizalez, CA"
276341,Samsung Galaxy A302,1,649900,12/12/19 06:05,"616 calle Sunset, Medellin, AN"
276342,Cable de Carga Lightning,1,64900,12/23/19 21:22,"189 calle Willow, Medellin, AN"
276343,Audifonos Bose SoundSport,1,399900,12/20/19 15:36,"931 calle Madison, Bogotá, CU"
276344,Freidora Air Fryer Kalley K-MAF25,1,198849,12/12/19 16:09,"421 calle Americas, Barranquilla, AT"
276345,Horno Microondas 0.8P Samsung AGE,1,309900,12/21/19 14:52,"981 calle Cedar, Bogotá, CU"
276345,Audifonos Apple Airpods,1,499900,12/21/19 14:52,"981 calle Cedar, Bogotá, CU"
276346,Cable de Carga USB-C P/O,1,46900,12/01/19 12:31,"954 calle Santa, Medellin, AN"
276347,Freidora Saludable B&D 3.5 Litros,1,229900,12/29/19 20:30,"776 calle Avenida, Cúcuta, NS"
276347,Cable de Carga Lightning,1,64900,12/29/19 20:30,"776 calle Avenida, Cúcuta, NS"
276348,Freidora Air Fryer Kalley K-MAF25,1,198849,12/27/19 15:04,"503 calle 12ma, Armenia, QU"
276349,Multiolla Oster 0150 Negra PE,1,299900,12/26/19 18:01,"815 calle Carrera, Barranquilla, AT"
276350,AAA Batteries (4-pack),1,12990,12/20/19 22:02,"657 calle 7ma, Cúcuta, NS"
276351,Audifonos Apple Airpods,1,499900,12/07/19 18:21,"295 calle Atalaya, Barranquilla, AT"
276352,Audifonos Apple Airpods,1,499900,12/16/19 10:08,"584 calle Museo, Armenia, QU"
276353,Parlante Google HomeMini,1,159900,12/10/19 16:24,"199 calle 1era, Medellin, AN"
276354,Freidora Air Fryer Kalley K-MAF25,1,198849,12/29/19 00:26,"859 calle Autopista Norte, Bucaramanga, SA"
276355,Cable de Carga Lightning,1,64900,12/24/19 20:30,"77 calle Transversal, Medellin, AN"
276356,AAA Batteries (4-pack),1,12990,12/20/19 07:53,"843 calle Boyacá, Medellin, AN"
276357,Audifonos Apple Airpods,1,499900,12/21/19 13:40,"704 calle 14va, Manizalez, CA"
276358,AA Batteries (4-pack),5,13800,12/07/19 15:45,"91 calle Diagonal, Bogotá, CU"
276359,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,12/30/19 23:52,"794 calle Diagonal, Armenia, QU"
276360,Cable de Carga USB-C P/O,1,46900,12/28/19 18:51,"281 calle Adams, Bucaramanga, SA"
276361,Samsung Galaxy A20S,1,489900,12/20/19 08:27,"652 calle Atalaya, Armenia, QU"
276362,Multiolla Oster 0150 Negra PE,1,299900,12/07/19 09:09,"289 calle Rivera, Bogotá, CU"
276363,Multiolla Oster 0150 Negra PE,1,299900,12/15/19 20:54,"644 calle Rivera, Armenia, QU"
276364,Cable de Carga USB-C P/O,1,46900,12/01/19 10:03,"849 calle Elm, Cali, VC"
276365,Audifonos Bose SoundSport,1,399900,12/19/19 06:50,"938 calle 14va, Armenia, QU"
276366,Parlante Google HomeMini,1,159900,12/26/19 18:10,"309 calle Americas, Cali, VC"
276367,Cable de Carga USB-C P/O,1,46900,12/28/19 09:50,"448 calle Adams, Armenia, QU"
276368,Cable de Carga Lightning,1,64900,12/29/19 10:01,"833 calle 11ra, Cúcuta, NS"
276369,Cable de Carga Lightning,1,64900,12/02/19 13:37,"830 calle Johnson, Medellin, AN"
276370,Cable de Carga USB-C P/O,1,46900,12/22/19 08:21,"49 calle Atalaya, Medellin, AN"
276370,Audifonos Apple Airpods,1,499900,12/22/19 08:21,"49 calle Atalaya, Medellin, AN"
276371,AAA Batteries (4-pack),2,12990,12/17/19 18:58,"154 calle Salitre, Cali, VC"
276372,Cable de Carga Lightning,1,64900,12/16/19 18:36,"935 calle 2da, Neiva, HU"
276373,Freidora Air Fryer Kalley K-MAF25,1,198849,12/08/19 14:59,"82 calle Transversal, Manizalez, CA"
276374,AAA Batteries (4-pack),1,12990,12/26/19 17:02,"965 calle Sur, Ibagué, TO"
276375,AAA Batteries (4-pack),1,12990,12/12/19 23:10,"571 calle Sur, Armenia, QU"
276376,Audifonos Bose SoundSport,1,399900,12/28/19 17:15,"437 calle 4ta, Medellin, AN"
276377,Parlante Google HomeMini,1,159900,12/05/19 15:23,"744 calle Pinar, Cali, VC"
276378,Freidora Saludable B&D 3.5 Litros,1,229900,12/25/19 08:09,"184 calle Adams, Bogotá, CU"
276379,Audifonos Apple Airpods,1,499900,12/05/19 20:46,"36 calle Pte Aranda, Cúcuta, NS"
276380,Horno Microondas 0.8P Samsung AGE,1,309900,12/02/19 17:20,"145 calle Sunset, Armenia, QU"
,,,,,
276381,Cable de Carga USB-C P/O,1,46900,12/27/19 14:31,"20 calle Elm, Bogotá, CU"
276382,Cable de Carga USB-C P/O,1,46900,12/25/19 06:16,"888 calle Boyacá, Ibagué, TO"
276383,Parlante Google HomeMini,1,159900,12/23/19 09:31,"452 calle Madison, Cali, VC"
276384,Cable de Carga USB-C P/O,1,46900,12/19/19 14:35,"603 calle Pinar, Barranquilla, AT"
276385,AAA Batteries (4-pack),1,12990,12/22/19 10:45,"264 calle Autopista Norte, Bucaramanga, SA"
276386,Audifonos Apple Airpods,1,499900,12/10/19 19:47,"151 calle Pte Aranda, Bogotá, CU"
276387,Horno Microondas 0.8P Samsung AGE,1,309900,12/15/19 21:39,"173 calle Chapinero, Medellin, AN"
276388,Parlante Google HomeMini,1,159900,12/20/19 13:04,"483 calle Sunset, Ibagué, TO"
276389,Samsung Galaxy A20S,1,489900,12/22/19 10:37,"657 calle Madison, Medellin, AN"
276389,Parlante Google HomeMini,1,159900,12/22/19 10:37,"657 calle Madison, Medellin, AN"
276390,AA Batteries (4-pack),1,13800,12/27/19 11:06,"842 calle Pinar, Medellin, AN"
276391,AAA Batteries (4-pack),1,12990,12/01/19 08:44,"142 calle 6ta, Cali, VC"
276392,Cable de Carga USB-C P/O,1,46900,12/15/19 23:00,"496 calle 8va, Barranquilla, AT"
276393,Cable de Carga USB-C P/O,1,46900,12/30/19 13:13,"918 calle Santa, Armenia, QU"
276394,Freidora Air Fryer Kalley K-MAF25,1,198849,12/19/19 15:44,"156 calle Transversal, Armenia, QU"
276395,Audifonos Bose SoundSport,1,399900,12/22/19 08:35,"215 calle Lincoln, Medellin, AN"
276396,AAA Batteries (4-pack),1,12990,12/14/19 02:07,"711 calle Johnson, Barranquilla, AT"
