ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
153258,Multiolla Oster 0150 Negra PE,1,299900,02/04/19 07:28,"724 calle Adams, Cúcuta, NS"
153259,AA Batteries (4-pack),2,13800,02/22/19 20:19,"61 calle Pinar, Armenia, QU"
153260,Horno Microondas 0.8P Samsung AGE,1,309900,02/12/19 12:34,"40 calle Jimenez, Medellin, AN"
153261,Cable de Carga Lightning,1,64900,02/09/19 18:07,"670 calle Jefferson, Bogotá, CU"
153262,Parlante Google HomeMini,1,159900,02/05/19 18:34,"223 calle Boyacá, Armenia, QU"
153263,Audifonos Bose SoundSport,1,399900,02/07/19 20:32,"751 calle Portal Sur, Cúcuta, NS"
153264,AA Batteries (4-pack),1,13800,02/06/19 14:01,"752 calle 5ta, Medellin, AN"
153265,Cable de Carga Lightning,1,64900,02/09/19 16:22,"510 calle Santa, Cúcuta, NS"
153266,Parlante Google HomeMini,1,159900,02/18/19 22:31,"289 calle 13ra, Armenia, QU"
153267,Parlante Google HomeMini,1,159900,02/23/19 19:04,"91 calle Willow, Bogotá, CU"
153268,AA Batteries (4-pack),1,13800,02/26/19 14:19,"687 calle Museo, Cali, VC"
153269,Cable de Carga Lightning,1,64900,02/19/19 12:07,"353 calle 9na, Medellin, AN"
153270,Asus VivoBook X420FA-BV Laptop,1,1950900,02/08/19 21:59,"926 calle 9na, Barranquilla, AT"
153271,Audifonos Apple Airpods,1,499900,02/09/19 09:12,"92 calle Boyacá, Medellin, AN"
153272,AA Batteries (4-pack),1,13800,02/14/19 18:24,"70 calle 12ma, Cali, VC"
153273,Parlante Google HomeMini,1,159900,02/28/19 11:06,"858 calle 12ma, Medellin, AN"
153274,Samsung Galaxy A20S,1,489900,02/05/19 08:03,"132 calle Pinar, Bucaramanga, SA"
153275,AA Batteries (4-pack),1,13800,02/16/19 21:24,"786 calle Adams, Bogotá, CU"
153276,Audifonos Bose SoundSport,1,399900,02/27/19 10:46,"603 calle Sunset, Barranquilla, AT"
153277,Audifonos Bose SoundSport,1,399900,02/11/19 15:34,"768 calle Elm, Manizalez, CA"
153278,AA Batteries (4-pack),1,13800,02/05/19 11:13,"710 calle Americas, Barranquilla, AT"
153279,AA Batteries (4-pack),1,13800,02/07/19 13:26,"154 calle Avenida, Cali, VC"
153280,Xiaomi REDMI Note 8,1,719000,02/16/19 11:29,"574 calle 11ra, Medellin, AN"
153281,Motorola G8 Plus Red,1,729900,02/05/19 14:46,"444 calle Cherry, Bogotá, CU"
153281,Cable de Carga Lightning,1,64900,02/05/19 14:46,"444 calle Cherry, Bogotá, CU"
153282,Motorola G8 Plus Red,1,729900,03/01/19 01:04,"188 calle 9na, Manizalez, CA"
153283,Cable de Carga Lightning,1,64900,02/07/19 16:46,"754 calle 1era, Armenia, QU"
153284,Multiolla Oster 0150 Negra PE,1,299900,02/06/19 03:55,"420 calle Kennedy, Barranquilla, AT"
153285,Motorola G8 Plus Red,1,729900,02/21/19 23:15,"397 calle Rio, Armenia, QU"
153286,Multiolla Oster 0150 Negra PE,1,299900,02/27/19 09:33,"105 calle 7ma, Armenia, QU"
153287,Cable de Carga Lightning,1,64900,02/03/19 21:02,"928 calle Cherry, Ibagué, TO"
153288,Cable de Carga Lightning,1,64900,02/21/19 15:57,"729 calle Pinar, Bucaramanga, SA"
153289,Cable de Carga USB-C P/O,1,46900,02/02/19 00:09,"355 calle Salitre, Cúcuta, NS"
153290,Cable de Carga USB-C P/O,1,46900,02/26/19 15:42,"819 calle 10ma, Bogotá, CU"
153291,Multiolla Oster 0150 Negra PE,1,299900,02/14/19 00:27,"640 calle Cherry, Medellin, AN"
153292,Horno Microondas 0.8P Samsung AGE,1,309900,02/14/19 13:45,"756 calle 10ma, Manizalez, CA"
153293,Audifonos Apple Airpods,1,499900,02/28/19 00:43,"234 calle 6ta, Armenia, QU"
153294,Cable de Carga USB-C P/O,1,46900,02/02/19 17:54,"650 calle Atalaya, Ibagué, TO"
153295,Cable de Carga USB-C P/O,1,46900,02/08/19 14:04,"94 calle Sunset, Cali, VC"
153296,Cable de Carga Lightning,1,64900,02/06/19 17:24,"137 calle Kennedy, Manizalez, CA"
153297,AAA Batteries (4-pack),1,12990,02/19/19 17:35,"687 calle Sunset, Bucaramanga, SA"
153298,Asus VivoBook X420FA-BV Laptop,1,1950900,02/10/19 20:31,"370 calle 12ma, Cúcuta, NS"
153299,Cable de Carga Lightning,1,64900,02/05/19 11:36,"365 calle 5ta, Medellin, AN"
153300,Audifonos Apple Airpods,1,499900,02/16/19 20:19,"411 calle 8va, Medellin, AN"
153301,Cable de Carga USB-C P/O,1,46900,02/13/19 08:49,"329 calle Rivera, Medellin, AN"
153302,Multiolla Oster 0150 Negra PE,1,299900,02/26/19 12:06,"572 calle Diagonal, Neiva, HU"
153303,Samsung Galaxy A302,1,649900,02/16/19 01:59,"238 calle Sunset, Bogotá, CU"
153304,Asus VivoBook X420FA-BV Laptop,1,1950900,02/06/19 11:46,"929 calle 1era, Cali, VC"
153305,AAA Batteries (4-pack),1,12990,02/07/19 09:00,"251 calle Transversal, Armenia, QU"
