ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
141234,Audifonos Apple Airpods,1,499900,01/25/19 13:51,"177 calle Jimenez, Cali, VC"
141235,Parlante Google HomeMini,1,159900,01/12/19 23:58,"732 calle 9na, Cúcuta, NS"
141236,Cable de Carga Lightning,1,64900,01/15/19 21:42,"887 calle Kennedy, Medellin, AN"
141237,Parlante Google HomeMini,1,159900,01/27/19 11:39,"641 calle 5ta, Bucaramanga, SA"
141238,Samsung Galaxy A302,1,649900,01/14/19 17:13,"379 calle 2da, Medellin, AN"
141239,Parlante Google HomeMini,1,159900,01/24/19 10:32,"92 calle Santa, Neiva, HU"
141240,AAA Batteries (4-pack),3,12990,01/30/19 14:44,"618 calle Pinar, Cali, VC"
141241,Parlante Google HomeMini,2,159900,01/12/19 12:41,"128 calle Lincoln, Medellin, AN"
141242,Multiolla Oster 0150 Negra PE,1,299900,01/07/19 18:32,"182 calle Portal Sur, Bogotá, CU"
141243,Cable de Carga USB-C P/O,1,46900,01/07/19 16:45,"266 calle 14va, Cali, VC"
141244,Parlante Google HomeMini,2,159900,01/23/19 15:44,"290 calle 1era, Cali, VC"
141245,Cable de Carga Lightning,1,64900,01/23/19 19:44,"886 calle Jefferson, Armenia, QU"
141246,AA Batteries (4-pack),1,13800,01/26/19 15:18,"805 calle Transversal, Cúcuta, NS"
141247,Audifonos Apple Airpods,1,499900,01/11/19 09:45,"602 calle Sunset, Medellin, AN"
141248,Audifonos Apple Airpods,1,499900,01/10/19 11:56,"197 calle Cedar, Bogotá, CU"
141249,Horno Microondas 0.8P Samsung AGE,1,309900,01/12/19 18:29,"384 calle Cedar, Manizalez, CA"
141250,AA Batteries (4-pack),1,13800,01/12/19 15:21,"453 calle 9na, Medellin, AN"
141251,AA Batteries (4-pack),3,13800,01/01/19 12:45,"72 calle 6ta, Bogotá, CU"
141252,Horno Microondas 0.8P Samsung AGE,1,309900,01/14/19 09:51,"953 calle Kennedy, Medellin, AN"
141253,Freidora Saludable B&D 3.5 Litros,1,229900,01/23/19 16:20,"671 calle Adams, Medellin, AN"
141254,AAA Batteries (4-pack),1,12990,01/16/19 20:11,"767 calle 12ma, Cúcuta, NS"
141255,Xiaomi REDMI Note 8,1,719000,01/18/19 23:34,"610 calle Adams, Medellin, AN"
141256,AAA Batteries (4-pack),1,12990,01/28/19 17:22,"83 calle Avenida, Cali, VC"
141257,AA Batteries (4-pack),1,13800,01/25/19 10:34,"728 calle 14va, Ibagué, TO"
141258,AAA Batteries (4-pack),1,12990,01/11/19 15:45,"85 calle 4ta, Cúcuta, NS"
141259,Cable de Carga Lightning,1,64900,01/04/19 14:47,"900 calle Pinar, Armenia, QU"
141260,Motorola G8 Plus Red,1,729900,01/27/19 20:42,"413 calle Autopista Norte, Medellin, AN"
141260,Parlante Google HomeMini,1,159900,01/27/19 20:42,"413 calle Autopista Norte, Medellin, AN"
141261,Audifonos Bose SoundSport,1,399900,01/30/19 12:11,"80 calle Rivera, Armenia, QU"
141262,Freidora Air Fryer Kalley K-MAF25,1,198849,01/07/19 16:45,"278 calle 5ta, Barranquilla, AT"
141263,Parlante Google HomeMini,1,159900,01/08/19 17:17,"741 calle Americas, Medellin, AN"
141264,Audifonos Apple Airpods,1,499900,01/06/19 09:30,"283 calle Santa, Cali, VC"
141265,AA Batteries (4-pack),1,13800,01/29/19 19:40,"412 calle Willow, Bogotá, CU"
141266,Xiaomi REDMI Note 8,1,719000,01/03/19 02:35,"727 calle 12ma, Ibagué, TO"
141267,Cable de Carga USB-C P/O,1,46900,01/02/19 08:57,"356 calle 7ma, Barranquilla, AT"
141268,AA Batteries (4-pack),1,13800,01/26/19 07:23,"250 calle Atalaya, Armenia, QU"
141269,Freidora Saludable B&D 3.5 Litros,1,229900,01/05/19 18:51,"305 calle 11ra, Cúcuta, NS"
141270,AA Batteries (4-pack),1,13800,01/18/19 21:20,"386 calle Jimenez, Armenia, QU"
141271,Horno Microondas 0.8P Samsung AGE,1,309900,01/13/19 13:42,"426 calle Sucre, Medellin, AN"
141272,Samsung Galaxy A302,1,649900,01/04/19 10:27,"156 calle 11ra, Ibagué, TO"
141273,Multiolla Oster 0150 Negra PE,1,299900,01/26/19 17:56,"133 calle Sucre, Ibagué, TO"
141274,Cable de Carga Lightning,1,64900,01/15/19 23:48,"426 calle Atalaya, Medellin, AN"
141275,Xiaomi REDMI Note 8,1,719000,01/28/19 12:49,"672 calle Sur, Manizalez, CA"
141276,Cable de Carga Lightning,1,64900,01/20/19 11:25,"633 calle Sucre, Armenia, QU"
141277,Multiolla Oster 0150 Negra PE,1,299900,01/05/19 13:52,"914 calle Johnson, Manizalez, CA"
141278,Cable de Carga Lightning,1,64900,01/25/19 00:18,"40 calle 13ra, Ibagué, TO"
141279,AAA Batteries (4-pack),1,12990,01/12/19 13:11,"79 calle Santa, Medellin, AN"
141280,Audifonos Bose SoundSport,1,399900,01/04/19 11:42,"631 calle Boyacá, Armenia, QU"
141281,Cable de Carga USB-C P/O,1,46900,01/31/19 10:15,"176 calle 8va, Bogotá, CU"
141282,AAA Batteries (4-pack),1,12990,01/23/19 19:53,"391 calle 9na, Cúcuta, NS"
141283,Cable de Carga USB-C P/O,1,46900,01/09/19 11:19,"523 calle Centro, Ibagué, TO"
141284,Asus VivoBook X420FA-BV Laptop,1,1950900,01/30/19 20:29,"4 calle 7ma, Medellin, AN"
141285,Audifonos Apple Airpods,1,499900,01/13/19 18:56,"639 calle 6ta, Armenia, QU"
141286,Audifonos Bose SoundSport,1,399900,01/17/19 18:52,"483 calle Elm, Bucaramanga, SA"
141287,AA Batteries (4-pack),3,13800,01/20/19 08:28,"72 calle Jimenez, Armenia, QU"
141288,Parlante Google HomeMini,1,159900,01/26/19 19:18,"748 calle Carrera, Manizalez, CA"
141289,AA Batteries (4-pack),1,13800,01/06/19 09:22,"486 calle Sur, Medellin, AN"
141290,Audifonos Apple Airpods,1,499900,01/01/19 17:25,"880 calle Kennedy, Cali, VC"
141291,Cable de Carga Lightning,1,64900,01/03/19 20:19,"303 calle 5ta, Bogotá, CU"
141292,Cable de Carga Lightning,1,64900,01/09/19 02:07,"552 calle Sucre, Medellin, AN"
141293,Multiolla Oster 0150 Negra PE,1,299900,01/01/19 10:32,"330 calle Santa, Barranquilla, AT"
141294,Audifonos Apple Airpods,1,499900,01/03/19 08:36,"348 calle Autopista Norte, Ibagué, TO"
141295,AA Batteries (4-pack),3,13800,01/13/19 18:34,"397 calle Kennedy, Medellin, AN"
141296,Freidora Air Fryer Kalley K-MAF25,1,198849,01/27/19 23:02,"545 calle Diagonal, Armenia, QU"
141297,Xiaomi REDMI Note 8,1,719000,01/15/19 12:54,"591 calle Madison, Cúcuta, NS"
141298,Audifonos Bose SoundSport,1,399900,01/31/19 08:39,"157 calle 10ma, Cali, VC"
