ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
211128,AAA Batteries (4-pack),1,12990,07/09/19 21:48,"327 calle Carrera, Cúcuta, NS"
211129,Asus VivoBook X420FA-BV Laptop,1,1950900,07/14/19 15:56,"597 calle Rio, Manizalez, CA"
211130,Multiolla Oster 0150 Negra PE,1,299900,07/28/19 21:25,"658 calle 14va, Ibagué, TO"
211131,AA Batteries (4-pack),1,13800,07/24/19 12:47,"100 calle Transversal, Armenia, QU"
211132,AA Batteries (4-pack),1,13800,07/20/19 18:30,"494 calle Elm, Medellin, AN"
211133,Parlante Google HomeMini,1,159900,07/15/19 16:00,"981 calle Sur, Bogotá, CU"
211134,Freidora Saludable B&D 3.5 Litros,1,229900,07/03/19 11:49,"326 calle Cherry, Ibagué, TO"
211135,Audifonos Apple Airpods,1,499900,07/20/19 17:45,"330 calle 6ta, Medellin, AN"
211136,Samsung Galaxy A302,1,649900,07/10/19 10:49,"984 calle Norte, Ibagué, TO"
211137,Cable de Carga USB-C P/O,1,46900,07/29/19 01:13,"629 calle 4ta, Manizalez, CA"
211138,Cable de Carga USB-C P/O,1,46900,07/31/19 09:25,"991 calle Madison, Cali, VC"
211139,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,07/23/19 23:06,"375 calle Diagonal, Bogotá, CU"
211140,Parlante Google HomeMini,1,159900,07/03/19 13:14,"361 calle Adams, Medellin, AN"
211141,Cable de Carga Lightning,1,64900,07/13/19 22:55,"620 calle Sur, Cali, VC"
211142,AA Batteries (4-pack),2,13800,07/22/19 20:52,"449 calle Carrera, Barranquilla, AT"
211143,Cable de Carga USB-C P/O,1,46900,07/28/19 19:30,"150 calle Salitre, Ibagué, TO"
211144,AA Batteries (4-pack),1,13800,07/16/19 16:32,"643 calle Santa, Cúcuta, NS"
211145,AA Batteries (4-pack),2,13800,07/22/19 21:59,"409 calle Cherry, Armenia, QU"
211146,AAA Batteries (4-pack),3,12990,07/02/19 10:22,"119 calle Cedar, Medellin, AN"
211147,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,07/30/19 14:32,"740 calle Jefferson, Cúcuta, NS"
211148,AA Batteries (4-pack),1,13800,07/31/19 07:52,"385 calle 9na, Ibagué, TO"
211149,AAA Batteries (4-pack),2,12990,07/14/19 11:08,"807 calle 12ma, Bucaramanga, SA"
211150,AA Batteries (4-pack),1,13800,07/09/19 00:04,"413 calle Chapinero, Medellin, AN"
211151,Parlante Google HomeMini,1,159900,07/18/19 23:30,"874 calle Autopista Norte, Cúcuta, NS"
211152,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,07/15/19 19:42,"817 calle 5ta, Ibagué, TO"
211153,Audifonos Apple Airpods,1,499900,07/04/19 11:36,"497 calle Adams, Medellin, AN"
211154,Motorola G8 Plus Red,1,729900,07/19/19 21:22,"703 calle Jimenez, Cali, VC"
211154,Audifonos Apple Airpods,1,499900,07/19/19 21:22,"703 calle Jimenez, Cali, VC"
211155,Horno Microondas 0.8P Samsung AGE,1,309900,07/19/19 14:19,"906 calle Chapinero, Barranquilla, AT"
211156,AAA Batteries (4-pack),3,12990,07/05/19 20:29,"236 calle Avenida, Ibagué, TO"
211157,Audifonos Bose SoundSport,1,399900,07/21/19 16:07,"718 calle Cherry, Bogotá, CU"
211158,Parlante Google HomeMini,1,159900,07/22/19 13:05,"873 calle Portal Sur, Medellin, AN"
211159,AAA Batteries (4-pack),1,12990,07/05/19 21:22,"821 calle 2da, Manizalez, CA"
211160,AAA Batteries (4-pack),3,12990,07/23/19 15:40,"415 calle Carrera, Cúcuta, NS"
211161,Audifonos Apple Airpods,1,499900,07/29/19 14:19,"806 calle Salitre, Cúcuta, NS"
211162,Cable de Carga USB-C P/O,1,46900,07/24/19 06:55,"218 calle 1era, Bogotá, CU"
211163,Cable de Carga USB-C P/O,2,46900,07/18/19 16:26,"876 calle Autopista Norte, Armenia, QU"
211164,Parlante Google HomeMini,1,159900,07/16/19 16:14,"220 calle 4ta, Armenia, QU"
211165,Parlante Google HomeMini,1,159900,07/01/19 17:36,"624 calle 10ma, Bogotá, CU"
211166,Cable de Carga USB-C P/O,1,46900,07/19/19 23:52,"10 calle 9na, Bogotá, CU"
