ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
195098,Cable de Carga Lightning,1,64900,06/17/19 20:12,"736 calle Transversal, Medellin, AN"
195099,Cable de Carga Lightning,1,64900,06/25/19 00:27,"562 calle Elm, Medellin, AN"
195100,Freidora Air Fryer Kalley K-MAF25,1,198849,06/23/19 20:44,"548 calle Sucre, Medellin, AN"
195101,AAA Batteries (4-pack),1,12990,06/12/19 20:30,"322 calle Sur, Medellin, AN"
195102,AA Batteries (4-pack),1,13800,06/02/19 10:00,"928 calle Avenida, Ibagué, TO"
195103,Xiaomi REDMI Note 8,1,719000,06/03/19 00:01,"482 calle Cedar, Armenia, QU"
195104,Cable de Carga USB-C P/O,2,46900,06/03/19 22:59,"987 calle Bolivar, Cali, VC"
195105,AA Batteries (4-pack),1,13800,06/23/19 15:29,"847 calle Autopista Norte, Medellin, AN"
195106,Parlante Google HomeMini,1,159900,06/26/19 10:27,"835 calle Bolivar, Cúcuta, NS"
195107,Samsung Galaxy A302,1,649900,06/06/19 12:47,"981 calle Rio, Cúcuta, NS"
195108,Freidora Air Fryer Kalley K-MAF25,1,198849,06/02/19 13:56,"904 calle 1era, Bogotá, CU"
195109,Asus VivoBook X420FA-BV Laptop,1,1950900,06/05/19 17:11,"765 calle Autopista Norte, Bogotá, CU"
195110,Horno Microondas 0.8P Samsung AGE,1,309900,06/20/19 10:35,"139 calle Adams, Barranquilla, AT"
195111,Parlante Google HomeMini,1,159900,06/09/19 15:46,"672 calle Avenida, Bogotá, CU"
195112,Parlante Google HomeMini,1,159900,06/24/19 18:32,"384 calle Transversal, Manizalez, CA"
195113,Audifonos Apple Airpods,1,499900,06/05/19 16:25,"731 calle Avenida, Ibagué, TO"
195114,AAA Batteries (4-pack),1,12990,06/22/19 15:52,"17 calle Carrera, Bogotá, CU"
195115,Freidora Saludable B&D 3.5 Litros,1,229900,06/30/19 18:37,"222 calle Sunset, Medellin, AN"
195116,Freidora Saludable B&D 3.5 Litros,1,229900,06/07/19 19:03,"694 calle 4ta, Cúcuta, NS"
195117,Parlante Google HomeMini,1,159900,06/12/19 18:40,"546 calle Americas, Medellin, AN"
195118,Parlante Google HomeMini,1,159900,06/09/19 19:41,"357 calle Boyacá, Armenia, QU"
195119,Cable de Carga Lightning,1,64900,06/16/19 21:27,"960 calle Johnson, Manizalez, CA"
195120,Audifonos Apple Airpods,1,499900,06/29/19 12:15,"547 calle Transversal, Cúcuta, NS"
195121,Freidora Saludable B&D 3.5 Litros,1,229900,06/27/19 07:43,"618 calle Autopista Norte, Cúcuta, NS"
195122,Cable de Carga Lightning,2,64900,06/02/19 20:42,"39 calle Museo, Cúcuta, NS"
195123,Cable de Carga Lightning,1,64900,06/13/19 18:00,"997 calle Willow, Medellin, AN"
195124,Cable de Carga Lightning,1,64900,06/07/19 17:10,"383 calle Jimenez, Armenia, QU"
195125,Freidora Saludable B&D 3.5 Litros,1,229900,06/07/19 18:36,"885 calle Portal Sur, Armenia, QU"
195126,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,06/02/19 12:26,"561 calle Willow, Barranquilla, AT"
195127,Audifonos Bose SoundSport,1,399900,06/08/19 11:18,"9 calle 11ra, Bogotá, CU"
195128,AAA Batteries (4-pack),1,12990,06/18/19 21:17,"378 calle 8va, Bogotá, CU"
195129,Horno Microondas 0.8P Samsung AGE,1,309900,06/14/19 19:06,"93 calle Rivera, Cali, VC"
195130,Cable de Carga Lightning,1,64900,06/08/19 06:21,"191 calle Cedar, Cúcuta, NS"
195131,Horno Microondas 0.8P Samsung AGE,1,309900,06/06/19 13:19,"572 calle Lincoln, Manizalez, CA"
195132,AA Batteries (4-pack),1,13800,06/19/19 17:32,"850 calle Adams, Bogotá, CU"
195133,Motorola G8 Plus Red,1,729900,06/12/19 11:28,"348 calle 4ta, Medellin, AN"
195134,Parlante Google HomeMini,1,159900,06/16/19 22:33,"695 calle 4ta, Bucaramanga, SA"
195135,Freidora Air Fryer Kalley K-MAF25,1,198849,06/13/19 21:51,"79 calle Pte Aranda, Ibagué, TO"
195136,Parlante Google HomeMini,1,159900,06/13/19 17:13,"894 calle Museo, Cúcuta, NS"
195137,Horno Microondas 0.8P Samsung AGE,1,309900,06/25/19 09:36,"594 calle Elm, Armenia, QU"
195138,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,06/09/19 01:19,"544 calle Museo, Cali, VC"
195139,AA Batteries (4-pack),2,13800,06/07/19 12:30,"61 calle 10ma, Armenia, QU"
195140,Audifonos Apple Airpods,1,499900,06/11/19 21:18,"37 calle 7ma, Bogotá, CU"
195141,LG Lavadora 19Kg Inv WT19,1,1646900,06/05/19 21:23,"775 calle Madison, Bogotá, CU"
195142,Cable de Carga USB-C P/O,1,46900,06/02/19 17:08,"643 calle Rio, Medellin, AN"
195143,Freidora Air Fryer Kalley K-MAF25,1,198849,06/09/19 10:18,"902 calle Salitre, Medellin, AN"
195144,AAA Batteries (4-pack),1,12990,06/03/19 15:55,"769 calle Americas, Cúcuta, NS"
195145,Audifonos Apple Airpods,1,499900,06/08/19 09:09,"425 calle Americas, Cúcuta, NS"
195146,Audifonos Apple Airpods,1,499900,06/13/19 09:32,"868 calle Diagonal, Bogotá, CU"
195147,Audifonos Apple Airpods,1,499900,06/18/19 08:23,"80 calle Transversal, Cúcuta, NS"
195148,Cable de Carga USB-C P/O,1,46900,06/11/19 13:36,"428 calle Johnson, Cali, VC"
195149,Motorola G8 Plus Red,1,729900,06/05/19 10:19,"897 calle 14va, Ibagué, TO"
195149,Parlante Google HomeMini,1,159900,06/05/19 10:19,"897 calle 14va, Ibagué, TO"
195150,Samsung Galaxy A302,1,649900,06/18/19 12:25,"886 calle Santa, Medellin, AN"
195151,Parlante Google HomeMini,1,159900,06/30/19 12:41,"425 calle Adams, Medellin, AN"
195152,Parlante Google HomeMini,1,159900,06/13/19 14:48,"831 calle Johnson, Cali, VC"
195153,AA Batteries (4-pack),1,13800,06/11/19 13:32,"7 calle Kennedy, Bogotá, CU"
195154,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,06/12/19 22:55,"932 calle Pte Aranda, Bogotá, CU"
195155,AA Batteries (4-pack),1,13800,06/10/19 15:59,"818 calle 6ta, Bogotá, CU"
