ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
163171,LG Secadora Carga Frontal,1,1646900,03/31/19 11:58,"591 calle Adams, Medellin, AN"
163172,AA Batteries (4-pack),1,13800,03/23/19 13:24,"106 calle Adams, Armenia, QU"
163173,Audifonos Bose SoundSport,1,399900,03/08/19 13:46,"545 calle Rivera, Armenia, QU"
163174,Cable de Carga USB-C P/O,2,46900,03/30/19 18:04,"370 calle Autopista Norte, Medellin, AN"
163175,Cable de Carga Lightning,1,64900,03/06/19 21:08,"347 calle Sucre, Ibagué, TO"
163176,Cable de Carga Lightning,1,64900,03/03/19 12:12,"881 calle Sunset, Armenia, QU"
ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
163177,Freidora Saludable B&D 3.5 Litros,1,229900,03/01/19 22:07,"589 calle Chapinero, Armenia, QU"
163178,AA Batteries (4-pack),1,13800,03/03/19 10:40,"765 calle Lincoln, Ibagué, TO"
163179,Cable de Carga USB-C P/O,1,46900,03/09/19 21:47,"857 calle Sunset, Barranquilla, AT"
163180,Cable de Carga USB-C P/O,2,46900,03/17/19 10:48,"506 calle 6ta, Bogotá, CU"
163181,Cable de Carga Lightning,1,64900,03/07/19 05:55,"686 calle Elm, Ibagué, TO"
163182,AA Batteries (4-pack),2,13800,03/26/19 19:34,"120 calle Transversal, Cúcuta, NS"
163183,Cable de Carga USB-C P/O,1,46900,03/24/19 12:28,"81 calle Carrera, Bucaramanga, SA"
163184,AAA Batteries (4-pack),1,12990,03/13/19 17:09,"471 calle Salitre, Bogotá, CU"
163185,Audifonos Bose SoundSport,1,399900,03/29/19 09:23,"621 calle 14va, Armenia, QU"
163186,AA Batteries (4-pack),1,13800,03/22/19 17:51,"62 calle Norte, Bogotá, CU"
163187,Samsung Galaxy A20S,1,489900,03/13/19 09:45,"825 calle Cedar, Armenia, QU"
163188,LG Lavadora 19Kg Inv WT19,1,1646900,03/08/19 19:19,"348 calle Cherry, Bogotá, CU"
163189,AA Batteries (4-pack),2,13800,03/23/19 22:22,"193 calle Lincoln, Cali, VC"
163190,AAA Batteries (4-pack),1,12990,03/21/19 17:06,"899 calle Santa, Bogotá, CU"
163191,Asus VivoBook X420FA-BV Laptop,1,1950900,03/08/19 06:58,"800 calle Cherry, Manizalez, CA"
163192,AAA Batteries (4-pack),1,12990,03/22/19 14:33,"855 calle Sucre, Cúcuta, NS"
163193,Freidora Air Fryer Kalley K-MAF25,1,198849,03/26/19 18:13,"760 calle 7ma, Bucaramanga, SA"
163194,Freidora Air Fryer Kalley K-MAF25,1,198849,03/06/19 11:52,"14 calle Atalaya, Armenia, QU"
163195,Cable de Carga USB-C P/O,1,46900,03/22/19 19:55,"934 calle 11ra, Bogotá, CU"
163196,Cable de Carga Lightning,1,64900,03/28/19 09:49,"495 calle Chapinero, Cúcuta, NS"
163197,AA Batteries (4-pack),4,13800,03/01/19 18:41,"775 calle Pinar, Bogotá, CU"
163198,Cable de Carga USB-C P/O,1,46900,03/23/19 17:41,"289 calle Kennedy, Ibagué, TO"
163199,AA Batteries (4-pack),1,13800,03/20/19 10:54,"330 calle 14va, Armenia, QU"
163200,Multiolla Oster 0150 Negra PE,1,299900,03/17/19 13:32,"68 calle Norte, Medellin, AN"
163201,Cable de Carga USB-C P/O,1,46900,03/21/19 11:19,"466 calle 1era, Medellin, AN"
163202,AAA Batteries (4-pack),1,12990,03/01/19 18:46,"330 calle Pinar, Medellin, AN"
163203,Cable de Carga USB-C P/O,1,46900,03/19/19 01:06,"441 calle 6ta, Bucaramanga, SA"
163204,Freidora Air Fryer Kalley K-MAF25,1,198849,03/28/19 21:55,"677 calle Centro, Bucaramanga, SA"
163205,Audifonos Apple Airpods,1,499900,03/17/19 05:02,"835 calle 13ra, Bucaramanga, SA"
163206,AA Batteries (4-pack),1,13800,03/22/19 11:32,"569 calle Santa, Armenia, QU"
163207,Cable de Carga USB-C P/O,1,46900,03/08/19 17:38,"869 calle Boyacá, Armenia, QU"
163208,Motorola G8 Plus Red,1,729900,03/19/19 19:28,"784 calle Carrera, Medellin, AN"
163209,Samsung Galaxy A302,1,649900,03/30/19 18:03,"253 calle Pte Aranda, Medellin, AN"
163210,Parlante Google HomeMini,1,159900,03/25/19 00:54,"424 calle 12ma, Cúcuta, NS"
163211,Freidora Saludable B&D 3.5 Litros,1,229900,03/03/19 13:54,"397 calle Adams, Ibagué, TO"
163212,Cable de Carga USB-C P/O,2,46900,03/18/19 20:32,"724 calle Rivera, Medellin, AN"
163213,Multiolla Oster 0150 Negra PE,1,299900,03/01/19 07:24,"354 calle 14va, Bucaramanga, SA"
163214,Cable de Carga USB-C P/O,1,46900,03/30/19 20:43,"920 calle Salitre, Armenia, QU"
163215,AA Batteries (4-pack),1,13800,03/02/19 15:36,"418 calle Sunset, Bogotá, CU"
163216,LG Secadora Carga Frontal,1,1646900,03/19/19 13:40,"374 calle 10ma, Bucaramanga, SA"
163216,Parlante Google HomeMini,1,159900,03/19/19 13:40,"374 calle 10ma, Bucaramanga, SA"
163217,Cable de Carga USB-C P/O,1,46900,03/04/19 12:50,"827 calle 12ma, Armenia, QU"
163218,Audifonos Apple Airpods,1,499900,03/30/19 18:51,"678 calle Jimenez, Medellin, AN"
163219,Cable de Carga Lightning,1,64900,03/26/19 17:27,"256 calle 8va, Medellin, AN"
163219,AAA Batteries (4-pack),1,12990,03/26/19 17:27,"256 calle 8va, Medellin, AN"
163220,AA Batteries (4-pack),4,13800,03/19/19 18:14,"489 calle 2da, Bucaramanga, SA"
163221,AAA Batteries (4-pack),3,12990,03/06/19 21:29,"242 calle Jimenez, Medellin, AN"
163222,Multiolla Oster 0150 Negra PE,1,299900,03/11/19 06:55,"223 calle 7ma, Medellin, AN"
