ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
182565,LG Lavadora 19Kg Inv WT19,1,1646900,05/05/19 10:02,"722 calle Adams, Bogotá, CU"
182566,Xiaomi REDMI Note 8,1,719000,05/04/19 22:44,"986 calle Johnson, Bogotá, CU"
182567,AA Batteries (4-pack),1,13800,05/02/19 17:24,"422 calle Rio, Armenia, QU"
182568,Cable de Carga Lightning,1,64900,05/25/19 22:49,"630 calle 7ma, Bogotá, CU"
182569,Parlante Google HomeMini,1,159900,05/20/19 17:24,"741 calle 7ma, Manizalez, CA"
182570,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,05/06/19 10:38,"683 calle Centro, Bogotá, CU"
182571,AAA Batteries (4-pack),2,12990,05/31/19 14:09,"644 calle Atalaya, Cali, VC"
182572,Cable de Carga USB-C P/O,1,46900,05/18/19 11:20,"355 calle 11ra, Cali, VC"
182573,Xiaomi REDMI Note 8,1,719000,05/29/19 15:55,"309 calle Rivera, Bogotá, CU"
182574,Audifonos Bose SoundSport,1,399900,05/23/19 18:00,"561 calle Cherry, Medellin, AN"
182575,Audifonos Apple Airpods,1,499900,05/25/19 23:25,"785 calle Diagonal, Medellin, AN"
182576,Samsung Galaxy A20S,1,489900,05/03/19 22:44,"792 calle 11ra, Cúcuta, NS"
182577,Audifonos Bose SoundSport,1,399900,05/22/19 14:39,"825 calle Salitre, Manizalez, CA"
182578,Parlante Google HomeMini,1,159900,05/08/19 09:39,"930 calle 14va, Bucaramanga, SA"
182579,AA Batteries (4-pack),1,13800,05/26/19 14:02,"99 calle Carrera, Manizalez, CA"
182580,AA Batteries (4-pack),2,13800,05/26/19 21:49,"982 calle Avenida, Ibagué, TO"
182581,AA Batteries (4-pack),1,13800,05/06/19 18:57,"691 calle 5ta, Manizalez, CA"
182582,Audifonos Apple Airpods,1,499900,05/25/19 14:49,"302 calle Bolivar, Medellin, AN"
182583,Cable de Carga USB-C P/O,1,46900,05/01/19 07:17,"617 calle 8va, Medellin, AN"
182584,AAA Batteries (4-pack),2,12990,05/01/19 23:10,"832 calle 1era, Cúcuta, NS"
182585,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,05/10/19 02:28,"71 calle 7ma, Barranquilla, AT"
182586,Xiaomi REDMI Note 8,1,719000,05/25/19 11:13,"69 calle Jefferson, Manizalez, CA"
182587,Audifonos Bose SoundSport,1,399900,05/19/19 09:45,"360 calle Rivera, Medellin, AN"
182588,Cable de Carga Lightning,1,64900,05/03/19 17:27,"695 calle Madison, Medellin, AN"
182589,Cable de Carga Lightning,1,64900,05/29/19 13:34,"413 calle 7ma, Medellin, AN"
