ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
260944,Freidora Saludable B&D 3.5 Litros,1,229900,11/12/19 14:57,"79 calle Avenida, Armenia, QU"
260945,Audifonos Apple Airpods,1,499900,11/04/19 17:52,"849 calle Atalaya, Bogotá, CU"
260946,Cable de Carga USB-C P/O,2,46900,11/20/19 11:37,"99 calle 9na, Ibagué, TO"
260947,Audifonos Bose SoundSport,1,399900,11/26/19 17:58,"126 calle Portal Sur, Barranquilla, AT"
260948,Audifonos Apple Airpods,1,499900,11/27/19 18:16,"983 calle Museo, Medellin, AN"
260949,Freidora Saludable B&D 3.5 Litros,1,229900,11/20/19 21:18,"218 calle 9na, Medellin, AN"
260950,LG Secadora Carga Frontal,1,1646900,11/05/19 17:55,"626 calle Portal Sur, Cúcuta, NS"
260951,Parlante Google HomeMini,1,159900,11/25/19 14:49,"545 calle 12ma, Armenia, QU"
260952,Audifonos Bose SoundSport,1,399900,11/18/19 19:08,"10 calle Museo, Manizalez, CA"
260953,Audifonos Apple Airpods,1,499900,11/19/19 13:53,"940 calle Norte, Armenia, QU"
260954,Audifonos Apple Airpods,1,499900,11/17/19 17:17,"966 calle Sunset, Cali, VC"
260955,Audifonos Apple Airpods,1,499900,11/29/19 15:41,"44 calle 5ta, Armenia, QU"
260956,Parlante Google HomeMini,1,159900,11/05/19 18:49,"544 calle Museo, Cali, VC"
260957,Multiolla Oster 0150 Negra PE,1,299900,11/02/19 11:09,"682 calle Jefferson, Ibagué, TO"
260958,Parlante Google HomeMini,1,159900,11/08/19 21:52,"612 calle Elm, Cali, VC"
260959,Parlante Google HomeMini,1,159900,11/01/19 05:31,"237 calle 13ra, Armenia, QU"
260960,Parlante Google HomeMini,1,159900,11/04/19 21:21,"279 calle Centro, Manizalez, CA"
260961,AAA Batteries (4-pack),1,12990,11/19/19 09:35,"308 calle 4ta, Medellin, AN"
260962,Freidora Air Fryer Kalley K-MAF25,1,198849,11/29/19 11:05,"985 calle Americas, Armenia, QU"
260963,AAA Batteries (4-pack),1,12990,11/20/19 14:22,"930 calle 14va, Bogotá, CU"
260964,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,11/08/19 00:06,"199 calle Boyacá, Medellin, AN"
260965,Asus VivoBook X420FA-BV Laptop,1,1950900,11/12/19 18:07,"260 calle Salitre, Barranquilla, AT"
260966,Cable de Carga USB-C P/O,1,46900,11/28/19 01:58,"780 calle Santa, Ibagué, TO"
260967,Parlante Google HomeMini,1,159900,11/05/19 09:41,"99 calle Rio, Manizalez, CA"
