ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
246400,Freidora Saludable B&D 3.5 Litros,1,229900,10/05/19 17:01,"893 calle 14va, Manizalez, CA"
246401,Parlante Google HomeMini,1,159900,10/09/19 13:20,"502 calle Chapinero, Cali, VC"
246402,AA Batteries (4-pack),1,13800,10/19/19 13:04,"202 calle Cedar, Armenia, QU"
246403,Cable de Carga USB-C P/O,1,46900,10/21/19 03:12,"954 calle Americas, Barranquilla, AT"
246404,Cable de Carga USB-C P/O,1,46900,10/10/19 21:15,"79 calle Sunset, Ibagué, TO"
246405,Samsung Galaxy A302,1,649900,10/16/19 15:39,"505 calle Lincoln, Cali, VC"
246406,AAA Batteries (4-pack),2,12990,10/31/19 13:39,"802 calle 7ma, Bucaramanga, SA"
246407,Freidora Air Fryer Kalley K-MAF25,1,198849,10/04/19 16:22,"755 calle Cherry, Manizalez, CA"
246408,Freidora Air Fryer Kalley K-MAF25,1,198849,10/12/19 15:08,"412 calle Boyacá, Cali, VC"
246409,Cable de Carga Lightning,1,64900,10/25/19 19:56,"898 calle Boyacá, Medellin, AN"
246410,Asus VivoBook X420FA-BV Laptop,1,1950900,10/25/19 16:26,"170 calle 2da, Cali, VC"
246411,Samsung Galaxy A20S,1,489900,10/31/19 16:23,"815 calle Santa, Ibagué, TO"
246412,AAA Batteries (4-pack),1,12990,10/13/19 12:14,"756 calle Sur, Armenia, QU"
246413,Cable de Carga Lightning,2,64900,10/17/19 11:09,"976 calle Rio, Bogotá, CU"
246414,Cable de Carga Lightning,1,64900,10/25/19 19:24,"316 calle Santa, Medellin, AN"
246415,Freidora Air Fryer Kalley K-MAF25,1,198849,10/27/19 17:07,"550 calle Rio, Bucaramanga, SA"
246416,Audifonos Bose SoundSport,1,399900,10/22/19 16:04,"878 calle Diagonal, Ibagué, TO"
246417,AAA Batteries (4-pack),2,12990,10/27/19 19:45,"535 calle Boyacá, Cúcuta, NS"
246418,Cable de Carga USB-C P/O,1,46900,10/20/19 16:49,"604 calle Bolivar, Ibagué, TO"
246419,Cable de Carga Lightning,1,64900,10/01/19 13:26,"723 calle Salitre, Ibagué, TO"
246420,Audifonos Apple Airpods,1,499900,10/31/19 10:57,"590 calle Rivera, Bucaramanga, SA"
246421,Cable de Carga USB-C P/O,1,46900,10/17/19 14:53,"71 calle Norte, Bogotá, CU"
246422,Multiolla Oster 0150 Negra PE,1,299900,10/19/19 23:41,"970 calle Kennedy, Armenia, QU"
246423,Audifonos Bose SoundSport,1,399900,10/12/19 14:00,"926 calle Pinar, Armenia, QU"
246424,AAA Batteries (4-pack),1,12990,10/10/19 17:21,"569 calle Lincoln, Manizalez, CA"
246424,Xiaomi REDMI Note 8,1,719000,10/10/19 17:21,"569 calle Lincoln, Manizalez, CA"
246425,AAA Batteries (4-pack),1,12990,10/29/19 12:40,"343 calle Rivera, Medellin, AN"
246426,Cable de Carga USB-C P/O,1,46900,10/13/19 21:35,"856 calle Jimenez, Ibagué, TO"
246427,Cable de Carga Lightning,1,64900,10/25/19 09:52,"516 calle 13ra, Armenia, QU"
246428,Cable de Carga USB-C P/O,1,46900,10/24/19 20:32,"614 calle Kennedy, Ibagué, TO"
246429,Cable de Carga USB-C P/O,1,46900,10/27/19 16:40,"460 calle Autopista Norte, Bogotá, CU"
246430,Cable de Carga USB-C P/O,1,46900,10/31/19 13:18,"475 calle Portal Sur, Armenia, QU"
246431,Parlante Google HomeMini,1,159900,10/23/19 20:26,"488 calle Kennedy, Medellin, AN"
246432,Horno Microondas 0.8P Samsung AGE,1,309900,10/24/19 14:34,"667 calle 7ma, Bogotá, CU"
246433,Cable de Carga Lightning,1,64900,10/09/19 11:09,"917 calle Jefferson, Barranquilla, AT"
246434,Multiolla Oster 0150 Negra PE,1,299900,10/15/19 20:20,"239 calle Atalaya, Barranquilla, AT"
246435,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,10/07/19 18:19,"291 calle Rivera, Barranquilla, AT"
246436,Cable de Carga USB-C P/O,1,46900,10/14/19 18:05,"264 calle Madison, Medellin, AN"
246437,Parlante Google HomeMini,1,159900,10/27/19 13:26,"736 calle Sunset, Bucaramanga, SA"
246437,AAA Batteries (4-pack),2,12990,10/27/19 13:26,"736 calle Sunset, Bucaramanga, SA"
246438,Cable de Carga Lightning,1,64900,10/02/19 20:56,"861 calle 1era, Cúcuta, NS"
246439,Parlante Google HomeMini,1,159900,10/15/19 20:28,"219 calle Museo, Neiva, HU"
246440,AA Batteries (4-pack),2,13800,10/13/19 21:03,"968 calle Centro, Medellin, AN"
246441,Audifonos Bose SoundSport,2,399900,10/23/19 13:36,"844 calle Cedar, Cúcuta, NS"
246442,Cable de Carga USB-C P/O,1,46900,10/21/19 13:16,"743 calle 12ma, Bogotá, CU"
246443,AAA Batteries (4-pack),1,12990,10/14/19 12:30,"768 calle Elm, Armenia, QU"
246444,Parlante Google HomeMini,1,159900,10/22/19 16:55,"534 calle Santa, Cúcuta, NS"
246445,Audifonos Bose SoundSport,1,399900,10/22/19 22:39,"530 calle Elm, Medellin, AN"
246446,AAA Batteries (4-pack),1,12990,10/29/19 11:10,"854 calle Jefferson, Armenia, QU"
246447,Asus VivoBook X420FA-BV Laptop,1,1950900,10/11/19 19:13,"73 calle Diagonal, Manizalez, CA"
246448,Cable de Carga USB-C P/O,1,46900,10/09/19 02:01,"575 calle Adams, Medellin, AN"
246449,Cable de Carga Lightning,1,64900,10/30/19 20:18,"451 calle Autopista Norte, Armenia, QU"
246450,AAA Batteries (4-pack),1,12990,10/09/19 11:58,"758 calle Jefferson, Cúcuta, NS"
246451,Audifonos Bose SoundSport,1,399900,10/13/19 19:23,"646 calle Santa, Armenia, QU"
246452,Cable de Carga Lightning,2,64900,10/09/19 08:26,"374 calle 4ta, Bogotá, CU"
246453,Audifonos Bose SoundSport,1,399900,10/23/19 10:35,"180 calle 11ra, Armenia, QU"
246454,Freidora Air Fryer Kalley K-MAF25,1,198849,10/31/19 01:49,"910 calle Boyacá, Armenia, QU"
246455,AA Batteries (4-pack),1,13800,10/16/19 18:15,"460 calle Americas, Medellin, AN"
246456,Asus VivoBook X420FA-BV Laptop,1,1950900,10/30/19 15:32,"487 calle 1era, Bogotá, CU"
246457,AAA Batteries (4-pack),1,12990,10/18/19 09:22,"359 calle Americas, Medellin, AN"
246458,Cable de Carga USB-C P/O,1,46900,10/13/19 14:36,"188 calle Rio, Armenia, QU"
246459,AAA Batteries (4-pack),1,12990,10/13/19 18:15,"537 calle Elm, Armenia, QU"
246460,AAA Batteries (4-pack),1,12990,10/25/19 12:35,"226 calle Sucre, Medellin, AN"
246461,AAA Batteries (4-pack),1,12990,10/09/19 06:41,"801 calle Chapinero, Medellin, AN"
246462,AA Batteries (4-pack),1,13800,10/13/19 10:41,"944 calle 8va, Armenia, QU"
246463,Cable de Carga USB-C P/O,1,46900,10/15/19 14:24,"574 calle Pinar, Armenia, QU"
246464,"Macbook Air MQD32E/A 128GB 13.3""",1,2799000,10/22/19 21:20,"716 calle Salitre, Cali, VC"
