ID Orden,Producto , Cantidad Ordenada,Precio Unitario ,Fecha,Dirección de Compra
242703,Samsung Galaxy A302,1,649900,09/19/19 12:57,"508 calle 11ra, Manizalez, CA"
242704,Cable de Carga Lightning,1,64900,09/10/19 20:36,"401 calle 9na, Medellin, AN"
242705,Audifonos Bose SoundSport,1,399900,09/24/19 18:44,"320 calle Portal Sur, Manizalez, CA"
242706,Horno Microondas 0.8P Samsung AGE,1,309900,09/23/19 12:19,"760 calle 11ra, Bucaramanga, SA"
242707,Freidora Saludable B&D 3.5 Litros,1,229900,09/03/19 00:09,"5 calle Diagonal, Armenia, QU"
242708,LG Lavadora 19Kg Inv WT19,1,1646900,09/11/19 18:20,"264 calle 12ma, Bucaramanga, SA"
242709,Motorola G8 Plus Red,1,729900,09/15/19 20:56,"22 calle 5ta, Cali, VC"
242710,Audifonos Apple Airpods,1,499900,09/23/19 21:20,"30 calle Lincoln, Cali, VC"
242711,AA Batteries (4-pack),3,13800,09/13/19 07:58,"547 calle 6ta, Medellin, AN"
242712,AA Batteries (4-pack),1,13800,09/19/19 13:54,"817 calle Willow, Cali, VC"
242713,Horno Microondas 0.8P Samsung AGE,1,309900,09/17/19 21:35,"18 calle Bolivar, Cúcuta, NS"
242714,Audifonos Apple Airpods,1,499900,09/27/19 22:13,"285 calle Willow, Armenia, QU"
242715,Cable de Carga Lightning,1,64900,09/14/19 14:56,"888 calle Diagonal, Bogotá, CU"
242716,Motorola G8 Plus Red,1,729900,09/27/19 14:23,"421 calle 8va, Cúcuta, NS"
242716,Cable de Carga Lightning,1,64900,09/27/19 14:23,"421 calle 8va, Cúcuta, NS"
242717,AA Batteries (4-pack),2,13800,09/19/19 18:42,"304 calle Willow, Armenia, QU"
242718,AA Batteries (4-pack),1,13800,09/06/19 21:49,"288 calle Bolivar, Medellin, AN"
242719,Parlante Google HomeMini,1,159900,09/15/19 15:36,"174 calle 1era, Medellin, AN"
242720,Cable de Carga USB-C P/O,1,46900,09/04/19 09:20,"506 calle Rio, Cúcuta, NS"
242721,Horno Microondas 0.8P Samsung AGE,1,309900,09/08/19 14:21,"689 calle Museo, Cúcuta, NS"
242722,AAA Batteries (4-pack),1,12990,09/01/19 09:57,"602 calle Atalaya, Bucaramanga, SA"
242723,Samsung Galaxy A302,1,649900,09/11/19 19:01,"872 calle Rio, Armenia, QU"
242724,AA Batteries (4-pack),1,13800,09/14/19 11:13,"610 calle Cherry, Armenia, QU"
242725,Parlante Google HomeMini,1,159900,09/13/19 11:33,"893 calle Autopista Norte, Armenia, QU"
242726,Horno Microondas 0.8P Samsung AGE,1,309900,09/11/19 19:45,"560 calle Chapinero, Armenia, QU"
242727,Cable de Carga USB-C P/O,2,46900,09/05/19 16:11,"119 calle 8va, Manizalez, CA"
242728,AAA Batteries (4-pack),1,12990,09/02/19 09:59,"235 calle Johnson, Medellin, AN"
242729,Parlante Google HomeMini,1,159900,09/13/19 17:58,"713 calle Sur, Bogotá, CU"
242730,Audifonos Bose SoundSport,1,399900,09/23/19 19:17,"805 calle 10ma, Bogotá, CU"
242731,Cable de Carga Lightning,1,64900,09/03/19 13:20,"859 calle Sucre, Bogotá, CU"
242732,Cable de Carga Lightning,2,64900,09/19/19 08:51,"426 calle Autopista Norte, Armenia, QU"
242733,AA Batteries (4-pack),1,13800,09/16/19 14:21,"209 calle 9na, Neiva, HU"
242734,Freidora Saludable B&D 3.5 Litros,1,229900,09/17/19 08:08,"424 calle Madison, Bucaramanga, SA"
242735,Cable de Carga Lightning,1,64900,09/19/19 16:56,"627 calle Americas, Armenia, QU"
242736,AAA Batteries (4-pack),1,12990,09/04/19 15:09,"668 calle Pte Aranda, Barranquilla, AT"
242737,Audifonos Bose SoundSport,1,399900,09/09/19 14:30,"856 calle 6ta, Medellin, AN"
242738,AAA Batteries (4-pack),2,12990,09/08/19 13:35,"798 calle 9na, Ibagué, TO"
242739,Audifonos Bose SoundSport,1,399900,09/28/19 14:38,"573 calle Pinar, Barranquilla, AT"
242740,AAA Batteries (4-pack),1,12990,09/22/19 14:53,"862 calle Rivera, Medellin, AN"
242741,Cable de Carga USB-C P/O,1,46900,09/30/19 16:55,"968 calle Cedar, Armenia, QU"
242742,AA Batteries (4-pack),1,13800,09/12/19 18:27,"11 calle Avenida, Bucaramanga, SA"
242743,Multiolla Oster 0150 Negra PE,1,299900,09/26/19 09:08,"302 calle Sunset, Medellin, AN"
242744,Horno Microondas 0.8P Samsung AGE,1,309900,09/13/19 22:55,"601 calle Chapinero, Cali, VC"
242745,Cable de Carga Lightning,1,64900,09/27/19 22:39,"280 calle 8va, Cúcuta, NS"
242746,Parlante Google HomeMini,1,159900,09/16/19 14:08,"715 calle Norte, Cúcuta, NS"
242747,AA Batteries (4-pack),2,13800,09/02/19 19:52,"105 calle 12ma, Bucaramanga, SA"
242748,Cable de Carga Lightning,1,64900,09/03/19 14:57,"726 calle 9na, Medellin, AN"
242749,Parlante Google HomeMini,1,159900,09/12/19 20:23,"18 calle Willow, Medellin, AN"
242750,AA Batteries (4-pack),1,13800,09/20/19 21:16,"526 calle Norte, Cali, VC"
242751,Samsung Galaxy A302,1,649900,09/07/19 17:55,"557 calle 9na, Armenia, QU"
242752,Cable de Carga USB-C P/O,1,46900,09/21/19 12:06,"754 calle Johnson, Bogotá, CU"
242753,AA Batteries (4-pack),1,13800,09/17/19 20:56,"144 calle Lincoln, Medellin, AN"
242754,Horno Microondas 0.8P Samsung AGE,1,309900,09/06/19 20:57,"680 calle Santa, Bogotá, CU"
242755,Cable de Carga Lightning,1,64900,09/10/19 00:43,"557 calle Avenida, Bucaramanga, SA"
242756,Cable de Carga Lightning,1,64900,09/29/19 11:37,"587 calle 14va, Medellin, AN"
242757,AA Batteries (4-pack),2,13800,09/23/19 06:28,"855 calle Rivera, Barranquilla, AT"
242758,Audifonos Bose SoundSport,1,399900,09/02/19 11:58,"894 calle Portal Sur, Bucaramanga, SA"
242759,AA Batteries (4-pack),1,13800,09/04/19 08:08,"743 calle 7ma, Bogotá, CU"
242760,AA Batteries (4-pack),1,13800,09/19/19 11:27,"213 calle Rivera, Medellin, AN"
242761,Horno Microondas 0.8P Samsung AGE,1,309900,09/06/19 11:07,"572 calle 10ma, Armenia, QU"
242762,AA Batteries (4-pack),1,13800,09/09/19 13:51,"941 calle Jefferson, Manizalez, CA"
242763,Cable de Carga Lightning,1,64900,09/15/19 22:04,"52 calle Rio, Armenia, QU"
242764,Cable de Carga USB-C P/O,1,46900,09/23/19 18:21,"158 calle Rio, Cali, VC"
242765,AAA Batteries (4-pack),1,12990,09/01/19 15:05,"508 calle Transversal, Bogotá, CU"
242766,AA Batteries (4-pack),1,13800,09/17/19 13:14,"42 calle 14va, Ibagué, TO"
242767,LG Lavadora 19Kg Inv WT19,1,1646900,09/17/19 08:08,"208 calle Autopista Norte, Neiva, HU"
242768,Motorola G8 Plus Red,1,729900,09/05/19 15:56,"256 calle Bolivar, Ibagué, TO"
,,,,,
242769,Cable de Carga USB-C P/O,1,46900,09/26/19 09:40,"207 calle Bolivar, Barranquilla, AT"
242770,LG Lavadora 19Kg Inv WT19,1,1646900,09/30/19 23:10,"813 calle Atalaya, Bucaramanga, SA"
242771,Cable de Carga Lightning,1,64900,09/22/19 15:01,"917 calle Norte, Barranquilla, AT"
242772,Parlante Google HomeMini,1,159900,09/14/19 15:02,"557 calle Kennedy, Cali, VC"
242773,Asus VivoBook X420FA-BV Laptop,1,1950900,09/27/19 15:44,"397 calle Autopista Norte, Ibagué, TO"
242774,Freidora Saludable B&D 3.5 Litros,1,229900,09/23/19 17:15,"663 calle Autopista Norte, Medellin, AN"
242775,Cable de Carga USB-C P/O,1,46900,09/05/19 17:48,"567 calle Lincoln, Cali, VC"
242776,Audifonos Apple Airpods,1,499900,09/26/19 19:38,"823 calle Sur, Barranquilla, AT"
242777,Freidora Air Fryer Kalley K-MAF25,1,198849,09/24/19 20:19,"398 calle Portal Sur, Cali, VC"
242778,Multiolla Oster 0150 Negra PE,1,299900,09/10/19 03:21,"327 calle Chapinero, Manizalez, CA"
242779,Parlante Google HomeMini,1,159900,09/27/19 23:37,"594 calle 7ma, Bogotá, CU"
242780,Freidora Air Fryer Kalley K-MAF25,1,198849,09/18/19 22:20,"462 calle 7ma, Manizalez, CA"
242781,AA Batteries (4-pack),5,13800,09/23/19 18:56,"198 calle Kennedy, Ibagué, TO"
242782,Cable de Carga Lightning,1,64900,09/22/19 12:28,"349 calle Cherry, Cali, VC"
242783,Xiaomi REDMI Note 8,1,719000,09/30/19 16:33,"427 calle 10ma, Medellin, AN"
242783,AAA Batteries (4-pack),1,12990,09/30/19 16:33,"427 calle 10ma, Medellin, AN"
242784,Cable de Carga Lightning,2,64900,09/16/19 15:10,"180 calle Sucre, Bogotá, CU"
242785,Audifonos Apple Airpods,1,499900,09/01/19 18:53,"174 calle 7ma, Medellin, AN"
242786,Cable de Carga Lightning,1,64900,09/03/19 15:15,"576 calle 1era, Armenia, QU"
242787,Cable de Carga Lightning,1,64900,09/17/19 17:50,"979 calle Kennedy, Barranquilla, AT"
242788,AAA Batteries (4-pack),1,12990,09/11/19 21:55,"832 calle 14va, Bucaramanga, SA"
